USER_ID	USER_ACCOUNT	USER_STATUS_CODE	USER_NAME	USER_EMAIL	BIRTHDAY	REGISTER_DATETIME	UPDATE_DATETIME
1	stojk	FML	Stojkovic	Pixy	1965-03-03 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
2	savicev	PRV	Savicevic	Genius	1966-09-15 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
3	mijato	WDL	Mijatovic	Mijato		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
4	stank	FML	Stankovic	Stanko	1978-09-11 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
5	milosvic	FML	Milosevic	Milose		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
6	mihajil	WDL	Mihajlovic	FreeKick	1969-02-20 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
7	akagi	FML	アカギ	Akagi		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
8	kezmen	FML	Kezman	RedCard		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
9	maslovar	FML	Maslovar	JEFUnited	1967-02-20 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
10	shokatsu	PRV	諸葛亮孔明	ShokatsuGoGo		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
11	boban	FML	Boban	Boban	1968-10-08 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
12	suker	PRV	Suker	Suker	1968-01-01 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
13	jarni	WDL	Jarni	Jarni	1968-10-26 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
14	boksic	FML	Boksic	Boksic	1970-01-21 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
15	prosin	FML	Prosinecki	Prosinecki	1969-01-12 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
16	robelt	WDL	RobeltKovac	RobeltKovac		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
17	nikok	FML	NikoKovac	NikoKovac		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
18	jovan	FML	Jovanovic	Jovano	1981-04-18 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
19	milko	FML	Milko	Milko	1974-09-10 00:00:00	2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
20	shokatukin	FML	諸葛瑾子瑜	ShokatsuKinKin		2013-08-02 22:31:27.000	2013-08-02 22:31:27.000
